clinic_name|clinic_link|id_doctor|doctor_specialization|doctor_experience
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|15|Стоматолог-ортопед|16
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|16|Детский стоматолог|5
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|17|Анестезиолог-реаниматолог|20
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|18|Стоматолог|1
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|19|Стоматолог|2
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|20|-|-
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|21|-|-
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|22|-|-
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|23|-|-
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|24|-|-
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|25|-|-
Стоматология «ЗубОк» на Кирова|https://prodoctorov.ru/tomsk/lpu/82008-stomatologiya-zubok-na-kirova/|0|Стоматолог-ортопед|10
Стоматология «ЗубОк» на Кирова|https://prodoctorov.ru/tomsk/lpu/82008-stomatologiya-zubok-na-kirova/|1|Стоматолог-ортодонт|9
Стоматология «ЗубОк» на Кирова|https://prodoctorov.ru/tomsk/lpu/82008-stomatologiya-zubok-na-kirova/|2|Стоматолог|11
Стоматология «ЗубОк» на Кирова|https://prodoctorov.ru/tomsk/lpu/82008-stomatologiya-zubok-na-kirova/|3|Стоматолог|7
Стоматология «ЗубОк» на Кирова|https://prodoctorov.ru/tomsk/lpu/82008-stomatologiya-zubok-na-kirova/|4|Детский стоматолог|7
Стоматология «ЗубОк» на Кирова|https://prodoctorov.ru/tomsk/lpu/82008-stomatologiya-zubok-na-kirova/|5|Стоматолог-имплантолог, стоматолог-хирург|10
Стоматология «ЗубОк» на Кирова|https://prodoctorov.ru/tomsk/lpu/82008-stomatologiya-zubok-na-kirova/|6|Стоматолог-гигиенист|6
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|0|Стоматолог-ортодонт|17
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|1|Стоматолог|10
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|2|Стоматолог|12
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|3|Стоматолог|8
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|4|Стоматолог|14
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|5|Стоматолог-ортопед|8
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|6|Стоматолог|3
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|7|Стоматолог-хирург|10
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|8|Стоматолог|28
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|9|Стоматолог-гигиенист|9
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|10|Стоматолог|7
Стоматология «Эликсир Премьер» на Шевченко|https://prodoctorov.ru/tomsk/lpu/12684-eliksir-stomatologicheskaya-klinika/|11|Стоматолог-ортодонт|17
